product_id,ranking,username_id
328100,3,0
725280,1,1
631920,2,2
671270,1,3
288690,1,4
308040,1,5
8880,1,6
363520,1,7
384210,1,8
631920,2,9
506510,3,10
399660,3,11
328100,1,12
544190,1,13
452570,3,14
267670,1,15
302390,2,16
308040,1,17
544190,1,18
267670,1,19
682100,1,20
40500,1,21
291430,1,22
40500,1,23
745880,2,24
573780,1,25
302390,1,26
328100,2,27
574640,2,28
291430,1,29
328100,2,30
8880,1,31
328100,1,32
434620,1,33
574640,2,34
328100,1,35
452570,2,36
390340,1,37
233550,1,38
452570,3,39
344340,2,40
233550,1,41
369080,1,42
224900,2,43
369080,1,44
434620,2,45
233550,2,46
224900,1,47
275180,2,48
369080,2,49
8880,2,50
452570,3,51
275180,3,52
669570,1,53
369080,1,54
369080,2,55
427730,1,56
224900,2,57
619230,2,58
61700,2,59
746410,1,60
434620,1,61
390340,1,62
534200,1,63
452570,3,64
8880,1,65
61700,3,66
745880,1,67
8880,1,68
390340,1,69
268930,1,70
35140,3,71
275180,2,72
8880,1,73
411080,1,74
271590,3,75
313810,3,76
224900,1,77
518120,1,78
263040,1,79
35140,2,80
313810,2,81
518120,2,82
233550,1,83
452570,1,84
8880,2,85
308040,1,78
518120,1,86
241620,1,87
350280,1,88
268930,1,89
342920,1,90
224900,1,91
275180,2,92
275180,2,93
313810,1,94
233550,1,95
335620,3,96
335620,3,97
554220,3,98
452570,1,99
350280,1,100
661590,1,101
452570,2,102
406920,2,103
8880,1,104
35140,2,105
324060,2,106
406920,1,107
26900,2,108
26900,1,109
35140,2,110
233550,1,111
8880,1,112
224900,2,113
224900,3,114
224900,1,115
548760,1,116
108210,1,117
275180,2,118
26900,2,119
341720,1,120
308040,2,121
382660,1,122
108210,2,123
335620,3,124
35140,3,125
292140,1,126
369990,2,127
11590,1,128
452420,2,129
233550,1,130
241620,1,131
241620,3,132
308040,1,133
224900,2,134
296050,3,135
11590,1,136
452420,2,137
310360,2,138
70500,1,139
745880,2,140
70500,1,141
296050,1,142
224900,1,143
61700,3,144
241620,1,145
275180,2,146
452420,2,147
308040,1,66
308040,1,148
300400,1,149
26900,1,150
533070,1,151
108210,2,152
233550,1,153
61700,3,154
310360,3,155
400370,2,156
341720,1,157
7650,1,158
11590,2,159
390340,1,160
275180,3,161
308040,2,162
308040,1,163
108210,1,164
745880,1,165
296050,3,166
108210,1,167
721430,2,168
233550,1,169
7650,1,8
458470,2,170
61700,1,171
745880,3,172
214560,3,173
275180,3,174
233550,2,175
275180,1,176
233550,1,177
3340,1,178
7650,3,179
737920,1,180
308040,1,181
233550,1,182
482440,2,2
296050,1,183
308040,2,184
326590,1,185
233550,1,186
241620,1,187
308040,2,188
313040,1,189
233550,1,190
454330,2,191
385770,1,192
296050,1,193
32900,2,194
745880,1,195
308040,1,196
26900,1,197
369990,3,198
35140,3,199
458470,3,200
350280,3,201
458470,2,202
388420,1,203
233550,1,204
214560,3,205
345120,2,206
534600,3,207
241620,3,208
233550,1,209
296050,3,210
310370,1,211
465490,3,212
233550,1,213
233550,3,214
296050,2,215
32900,1,216
363490,2,217
330390,3,218
390340,2,219
308040,1,220
313040,1,221
348530,2,222
308040,2,223
241620,2,224
345120,1,225
330390,3,226
308040,1,227
280560,2,228
388420,2,229
296050,2,230
310360,2,231
308040,1,232
369990,2,233
308040,1,232
388420,2,221
35140,3,234
345120,2,235
7650,1,236
61700,3,237
745880,1,238
330390,2,239
233550,1,240
233550,1,241
280560,1,242
233550,2,243
385770,1,244
417290,2,245
310360,2,246
7650,3,247
326840,2,248
61700,3,249
286260,1,250
388420,2,251
26900,1,252
369990,3,253
26900,2,254
7650,3,255
26900,1,256
363490,1,257
7650,3,258
271860,1,259
7650,3,260
271860,1,261
26900,1,236
7650,2,262
310370,1,263
26900,2,264
310360,2,265
13600,2,266
271860,1,267
61700,3,268
280560,2,269
280560,2,270
369990,2,271
26900,2,272
310360,3,273
271860,2,274
13600,2,275
390340,2,276
